trackID,class,frame,xmin,ymin,xmax,ymax,time,date
1,person,3,242,789,363,1080,23:22:11,02|Dec|2020
2,person,3,717,223,783,409,23:22:11,02|Dec|2020
3,person,3,1605,611,1715,864,23:22:11,02|Dec|2020
4,person,3,882,73,947,228,23:22:11,02|Dec|2020
5,person,3,803,239,858,417,23:22:11,02|Dec|2020
6,person,3,861,390,985,593,23:22:11,02|Dec|2020
7,person,3,1646,118,1714,279,23:22:11,02|Dec|2020
8,person,3,280,292,372,483,23:22:11,02|Dec|2020
9,person,3,1452,27,1533,185,23:22:11,02|Dec|2020
10,person,3,1573,918,1708,1080,23:22:11,02|Dec|2020
11,person,3,1801,177,1866,342,23:22:11,02|Dec|2020
12,person,3,605,1002,802,1080,23:22:11,02|Dec|2020
13,person,3,1154,0,1194,75,23:22:11,02|Dec|2020
1,person,4,242,789,362,1080,23:22:11,02|Dec|2020
2,person,4,717,223,783,409,23:22:11,02|Dec|2020
3,person,4,1605,611,1715,864,23:22:11,02|Dec|2020
4,person,4,882,73,947,228,23:22:11,02|Dec|2020
5,person,4,803,239,858,417,23:22:11,02|Dec|2020
6,person,4,861,390,984,593,23:22:11,02|Dec|2020
7,person,4,1646,118,1715,279,23:22:11,02|Dec|2020
8,person,4,280,291,372,483,23:22:11,02|Dec|2020
9,person,4,1452,27,1533,185,23:22:11,02|Dec|2020
10,person,4,1573,918,1708,1080,23:22:11,02|Dec|2020
11,person,4,1801,176,1867,342,23:22:11,02|Dec|2020
12,person,4,606,1002,802,1080,23:22:11,02|Dec|2020
150,person,4,1154,0,1194,75,23:22:11,02|Dec|2020
1,person,5,240,795,359,1080,23:22:11,02|Dec|2020
2,person,5,720,223,786,409,23:22:11,02|Dec|2020
3,person,5,1604,612,1714,864,23:22:11,02|Dec|2020
4,person,5,883,73,948,228,23:22:11,02|Dec|2020
5,person,5,805,237,861,418,23:22:11,02|Dec|2020
6,person,5,854,392,985,610,23:22:11,02|Dec|2020
7,person,5,1647,119,1714,277,23:22:11,02|Dec|2020
8,person,5,270,250,382,483,23:22:11,02|Dec|2020
9,person,5,1452,27,1532,183,23:22:11,02|Dec|2020
10,person,5,1579,921,1712,1079,23:22:11,02|Dec|2020
11,person,5,1803,176,1869,341,23:22:11,02|Dec|2020
12,person,5,604,1000,805,1080,23:22:11,02|Dec|2020
13,person,5,1153,0,1194,75,23:22:11,02|Dec|2020
1,person,6,230,802,346,1079,23:22:11,02|Dec|2020
2,person,6,725,220,792,408,23:22:11,02|Dec|2020
3,person,6,1605,613,1715,864,23:22:11,02|Dec|2020
4,person,6,883,74,947,228,23:22:11,02|Dec|2020
5,person,6,809,236,866,418,23:22:11,02|Dec|2020
6,person,6,844,395,982,626,23:22:11,02|Dec|2020
7,person,6,1646,119,1714,279,23:22:11,02|Dec|2020
8,person,6,264,231,384,486,23:22:11,02|Dec|2020
9,person,6,1456,28,1536,183,23:22:11,02|Dec|2020
10,person,6,1584,928,1711,1079,23:22:11,02|Dec|2020
11,person,6,1804,174,1871,343,23:22:11,02|Dec|2020
12,person,6,600,994,816,1080,23:22:11,02|Dec|2020
13,person,6,1154,0,1194,75,23:22:11,02|Dec|2020
1,person,7,223,810,336,1078,23:22:12,02|Dec|2020
2,person,7,728,219,796,408,23:22:12,02|Dec|2020
3,person,7,1604,614,1715,866,23:22:12,02|Dec|2020
4,person,7,885,74,948,228,23:22:12,02|Dec|2020
5,person,7,814,236,872,418,23:22:12,02|Dec|2020
6,person,7,839,398,979,635,23:22:12,02|Dec|2020
7,person,7,1645,118,1713,279,23:22:12,02|Dec|2020
8,person,7,260,218,387,487,23:22:12,02|Dec|2020
9,person,7,1461,29,1540,182,23:22:12,02|Dec|2020
10,person,7,1589,936,1710,1078,23:22:12,02|Dec|2020
11,person,7,1805,173,1874,344,23:22:12,02|Dec|2020
